,class_names,link
0,rd-gallery__image rd-gallery__image--thumbs,https://media.cdn.kaufland.de/product-images/1024x1024/2c71116b22ad92063fcfe7c4ae73b2f3.webp
1,rd-gallery__image rd-gallery__image--thumbs,https://media.cdn.kaufland.de/product-images/1024x1024/8a45892bee1fc1b96c21dfbfeb625737.webp
2,rd-gallery__image rd-gallery__image--thumbs,https://media.cdn.kaufland.de/product-images/100x100/a8195d1b33df244b1db996927fc19089.webp
3,rd-gallery__image rd-gallery__image--thumbs,https://media.cdn.kaufland.de/product-images/100x100/2258aae0d8a8831bb5e04dffab12db31.webp
4,rd-gallery__image rd-gallery__image--thumbs,https://media.cdn.kaufland.de/product-images/100x100/d83cca0272a6d1b9d5df919ecc8f8d34.webp
5,rd-gallery__image rd-gallery__image--thumbs,https://media.cdn.kaufland.de/product-images/100x100/4d00f513648f4a39b615d32bf2a9b8fb.webp
6,rd-gallery__image rd-gallery__image--thumbs,https://media.cdn.kaufland.de/product-images/100x100/fc964dee7dffdc25903a2b2dd90efdb6.webp
7,rd-gallery__image rd-gallery__image--thumbs,https://media.cdn.kaufland.de/product-images/100x100/1a2f41941db7c7f249bf1a6dfb58f850.webp
8,rd-gallery__image rd-gallery__image--thumbs,https://media.cdn.kaufland.de/product-images/100x100/4854370de0273cf1142bae1a1b96dcad.webp
9,rd-gallery__image rd-gallery__image--thumbs,https://media.cdn.kaufland.de/product-images/100x100/5af1545dcffa33ac4607cbff3d38718e.webp
