,class_names,link
0,eIhG16Mc _1tVkBspW,https://img.kwcdn.com/product/Fancyalgo/VirtualModelMatting/8499cf5d861a00ee8adba2e24135ae5b.jpg?imageView2/2/w/800/q/70
1,eIhG16Mc _2MR1xgiw goods-img-external,https://img.kwcdn.com/product/Fancyalgo/VirtualModelMatting/9842a72df7484b729226f511a410eb20.jpg?imageView2/2/w/500/q/80
2,eIhG16Mc _2MR1xgiw goods-img-external,https://img.kwcdn.com/product/Fancyalgo/VirtualModelMatting/3fba8a927eb71e2c10afacc04463b017.jpg?imageView2/2/w/500/q/80
3,eIhG16Mc _2MR1xgiw goods-img-external,https://img.kwcdn.com/product/Fancyalgo/VirtualModelMatting/f5dd2125b74c4c98210d2bf24bdf49cd.jpg?imageView2/2/w/500/q/80
4,eIhG16Mc _2MR1xgiw goods-img-external,https://img.kwcdn.com/product/Fancyalgo/VirtualModelMatting/7fa5d61e60150ba59173d52d4fe39129.jpg?imageView2/2/w/500/q/80
5,eIhG16Mc _2MR1xgiw goods-img-external,https://img.kwcdn.com/product/Fancyalgo/VirtualModelMatting/99d4b439f494cf56f9182739d496d91a.jpg?imageView2/2/w/500/q/80
6,eIhG16Mc _2MR1xgiw goods-img-external,https://img.kwcdn.com/product/Fancyalgo/VirtualModelMatting/8b608be69b1763ad2c2929b4bc844fe0.jpg?imageView2/2/w/500/q/80
7,eIhG16Mc _2MR1xgiw goods-img-external,https://img.kwcdn.com/product/enhanced_images/89a03888ab933b716ea36a66ea665b0c_enhanced.jpg?imageView2/2/w/500/q/80
8,eIhG16Mc _2MR1xgiw goods-img-external,https://img.kwcdn.com/product/Fancyalgo/VirtualModelMatting/03106b7e47a6a3e5b4cdd1f6b7adecd4.jpg?imageView2/2/w/500/q/80
9,eIhG16Mc _2MR1xgiw goods-img-external,https://img.kwcdn.com/product/open/2023-02-03/1675395338734-ba66179bf6ec46e8b65ca53dd5db06d1-goods.jpeg?imageView2/2/w/500/q/80
10,eIhG16Mc _2MR1xgiw goods-img-external,https://img.kwcdn.com/product/Fancyalgo/VirtualModelMatting/542ac01b506004e9f4045aeab364579b.jpg?imageView2/2/w/500/q/80
11,eIhG16Mc _2MR1xgiw goods-img-external,https://img.kwcdn.com/product/Fancyalgo/VirtualModelMatting/f3479ca0c6491d9d0afc2da085ac7258.jpg?imageView2/2/w/500/q/80
12,eIhG16Mc _2MR1xgiw goods-img-external,https://img.kwcdn.com/product/Fancyalgo/VirtualModelMatting/9842a72df7484b729226f511a410eb20.jpg?imageView2/2/w/500/q/80
13,eIhG16Mc _2MR1xgiw goods-img-external,https://img.kwcdn.com/product/Fancyalgo/VirtualModelMatting/3fba8a927eb71e2c10afacc04463b017.jpg?imageView2/2/w/500/q/80
14,eIhG16Mc _2MR1xgiw goods-img-external,https://img.kwcdn.com/product/Fancyalgo/VirtualModelMatting/f5dd2125b74c4c98210d2bf24bdf49cd.jpg?imageView2/2/w/500/q/80
15,eIhG16Mc _2MR1xgiw goods-img-external,https://img.kwcdn.com/product/Fancyalgo/VirtualModelMatting/7fa5d61e60150ba59173d52d4fe39129.jpg?imageView2/2/w/500/q/80
16,eIhG16Mc _2MR1xgiw goods-img-external,https://img.kwcdn.com/product/Fancyalgo/VirtualModelMatting/99d4b439f494cf56f9182739d496d91a.jpg?imageView2/2/w/500/q/80
17,eIhG16Mc _2MR1xgiw goods-img-external,https://img.kwcdn.com/product/Fancyalgo/VirtualModelMatting/8b608be69b1763ad2c2929b4bc844fe0.jpg?imageView2/2/w/500/q/80
18,eIhG16Mc _2MR1xgiw goods-img-external,https://img.kwcdn.com/product/enhanced_images/89a03888ab933b716ea36a66ea665b0c_enhanced.jpg?imageView2/2/w/500/q/80
19,eIhG16Mc _2MR1xgiw goods-img-external,https://img.kwcdn.com/product/Fancyalgo/VirtualModelMatting/03106b7e47a6a3e5b4cdd1f6b7adecd4.jpg?imageView2/2/w/500/q/80
20,eIhG16Mc _2MR1xgiw goods-img-external,https://img.kwcdn.com/product/open/2023-02-03/1675395338734-ba66179bf6ec46e8b65ca53dd5db06d1-goods.jpeg?imageView2/2/w/500/q/80
21,eIhG16Mc _2MR1xgiw goods-img-external,https://img.kwcdn.com/product/Fancyalgo/VirtualModelMatting/542ac01b506004e9f4045aeab364579b.jpg?imageView2/2/w/500/q/80
22,eIhG16Mc _2MR1xgiw goods-img-external,https://img.kwcdn.com/product/Fancyalgo/VirtualModelMatting/f3479ca0c6491d9d0afc2da085ac7258.jpg?imageView2/2/w/500/q/80
